SQUADRA, GIOCATORE, RUOLO, RATING

Spagna, Iker Casillas, POR, 93
Spagna, Sergio Ramos, TD, 91
Spagna, Gerard Piqué, DC, 89
Spagna, Carles Puyol, DC, 90
Spagna, Joan Capdevila, TS, 87
Spagna, Sergio Busquets, CC, 89
Spagna, Xabi Alonso, CC, 91
Spagna, Xavi, CC, 94
Spagna, Andrés Iniesta, TRQ, 95
Spagna, David Villa, ATT, 93
Spagna, Fernando Torres, ATT, 91

Paesi Bassi, Maarten Stekelenburg, POR, 88
Paesi Bassi, Gregory van der Wiel, TD, 86
Paesi Bassi, John Heitinga, DC, 87
Paesi Bassi, Joris Mathijsen, DC, 86
Paesi Bassi, Giovanni van Bronckhorst, TS, 88
Paesi Bassi, Mark van Bommel, CC, 88
Paesi Bassi, Wesley Sneijder, TRQ, 92
Paesi Bassi, Dirk Kuyt, CC, 87
Paesi Bassi, Arjen Robben, ATT, 93
Paesi Bassi, Robin van Persie, ATT, 91
Paesi Bassi, Rafael van der Vaart, CC, 90

Germania, Manuel Neuer, POR, 90
Germania, Philipp Lahm, TD, 91
Germania, Per Mertesacker, DC, 87
Germania, Arne Friedrich, DC, 86
Germania, Holger Badstuber, DC, 87
Germania, Sami Khedira, CC, 88
Germania, Bastian Schweinsteiger, CC, 91
Germania, Mesut Özil, TRQ, 91
Germania, Thomas Müller, ATT, 90
Germania, Lukas Podolski, ATT, 88
Germania, Miroslav Klose, ATT, 91

Brasile, Júlio César, POR, 90
Brasile, Maicon, TD, 89
Brasile, Lúcio, DC, 90
Brasile, Juan, DC, 87
Brasile, Michel Bastos, TS, 86
Brasile, Gilberto Silva, CC, 88
Brasile, Felipe Melo, CC, 86
Brasile, Kaká, TRQ, 92
Brasile, Robinho, ATT, 88
Brasile, Luís Fabiano, ATT, 90
Brasile, Elano, CC, 87

Argentina, Sergio Romero, POR, 88
Argentina, Jonás Gutiérrez, TD, 85
Argentina, Nicolás Otamendi, DC, 87
Argentina, Martín Demichelis, DC, 86
Argentina, Gabriel Heinze, DC, 87
Argentina, Javier Mascherano, CC, 91
Argentina, Ángel Di María, CC, 89
Argentina, Juan Sebastián Verón, TRQ, 88
Argentina, Lionel Messi, ATT, 94
Argentina, Gonzalo Higuaín, ATT, 91
Argentina, Carlos Tevez, ATT, 90

Inghilterra, David James, POR, 88
Inghilterra, Glen Johnson, TD, 87
Inghilterra, John Terry, DC, 90
Inghilterra, Matthew Upson, DC, 86
Inghilterra, Ashley Cole, TS, 89
Inghilterra, Steven Gerrard, CC, 92
Inghilterra, Frank Lampard, CC, 92
Inghilterra, Gareth Barry, CC, 87
Inghilterra, Aaron Lennon, CC, 86
Inghilterra, Wayne Rooney, ATT, 92
Inghilterra, Emile Heskey, ATT, 85

Portogallo, Eduardo, POR, 88
Portogallo, Paulo Ferreira, TD, 84
Portogallo, Ricardo Carvalho, DC, 90
Portogallo, Bruno Alves, DC, 88
Portogallo, Fábio Coentrão, TS, 88
Portogallo, Pepe, DC, 89
Portogallo, Raul Meireles, CC, 89
Portogallo, Tiago, CC, 87
Portogallo, Simão, TRQ, 88
Portogallo, Cristiano Ronaldo, ATT, 94
Portogallo, Liedson, ATT, 87

Italia, Gianluigi Buffon, POR, 92
Italia, Fabio Cannavaro, DC, 90
Italia, Giorgio Chiellini, DC, 89
Italia, Leonardo Bonucci, DC, 85
Italia, Gianluca Zambrotta, TD, 87
Italia, Domenico Criscito, TS, 86
Italia, Andrea Pirlo, CC, 91
Italia, Daniele De Rossi, CC, 89
Italia, Claudio Marchisio, CC, 87
Italia, Vincenzo Iaquinta, ATT, 88
Italia, Alberto Gilardino, ATT, 89

Francia, Hugo Lloris, POR, 89
Francia, Bacary Sagna, TD, 87
Francia, William Gallas, DC, 88
Francia, Éric Abidal, TS, 87
Francia, Patrice Evra, TS, 88
Francia, Jérémy Toulalan, CC, 86
Francia, Yoann Gourcuff, TRQ, 89
Francia, Franck Ribéry, CC, 91
Francia, Thierry Henry, ATT, 90
Francia, Nicolas Anelka, ATT, 89
Francia, Florent Malouda, ATT, 87

Costa d'Avorio, Boubacar Barry, POR, 87
Costa d'Avorio, Emmanuel Eboué, TD, 86
Costa d'Avorio, Kolo Touré, DC, 88
Costa d'Avorio, Didier Zokora, CC, 87
Costa d'Avorio, Didier Drogba, ATT, 92
Costa d'Avorio, Salomon Kalou, ATT, 88
Costa d'Avorio, Yaya Touré, CC, 91
Costa d'Avorio, Gervinho, TRQ, 88
Costa d'Avorio, Kader Keïta, CC, 86
Costa d'Avorio, Guy Demel, DC, 85
Costa d'Avorio, Arthur Boka, TS, 86

USA, Tim Howard, POR, 90
USA, Steve Cherundolo, TD, 86
USA, Oguchi Onyewu, DC, 87
USA, Jay DeMerit, DC, 85
USA, Carlos Bocanegra, DC, 86
USA, Landon Donovan, CC, 91
USA, Clint Dempsey, TRQ, 90
USA, Michael Bradley, CC, 88
USA, Maurice Edu, CC, 86
USA, Jozy Altidore, ATT, 88
USA, Robbie Findley, ATT, 85

Danimarca, Thomas Sørensen, POR, 88
Danimarca, Daniel Agger, DC, 88
Danimarca, Simon Kjær, DC, 87
Danimarca, Dennis Rommedahl, TD, 86
Danimarca, Lars Jacobsen, TD, 86
Danimarca, Christian Poulsen, CC, 88
Danimarca, Thomas Kahlenberg, TRQ, 87
Danimarca, Nicklas Bendtner, ATT, 89
Danimarca, Jon Dahl Tomasson, ATT, 88
Danimarca, William Kvist, CC, 86
Danimarca, Simon Poulsen, TS, 82

Giappone, Eiji Kawashima, POR, 88
Giappone, Yuto Nagatomo, TD, 87
Giappone, Marcus Tulio Tanaka, DC, 88
Giappone, Yuji Nakazawa, DC, 87
Giappone, Atsuto Uchida, TS, 86
Giappone, Makoto Hasebe, CC, 88
Giappone, Yasuhito Endō, CC, 89
Giappone, Keisuke Honda, TRQ, 91
Giappone, Shinji Okazaki, ATT, 88
Giappone, Daisuke Matsui, CC, 83
Giappone, Tadanari Lee, ATT, 86

Corea del Sud, Jung Sung-ryong, POR, 88
Corea del Sud, Lee Young-pyo, TS, 86
Corea del Sud, Cha Du-ri, TD, 86
Corea del Sud, Lee Jung-soo, DC, 87
