SQUADRA, GIOCATORE, RUOLO, RATING

Italia, Dino Zoff, POR, 90
Italia, Claudio Gentile, TD, 88
Italia, Gaetano Scirea, DC, 93
Italia, Fulvio Collovati, DC, 87
Italia, Antonio Cabrini, TS, 89
Italia, Marco Tardelli, CC, 90
Italia, Gabriele Oriali, CC, 86
Italia, Giancarlo Antognoni, TRQ, 89
Italia, Bruno Conti, ED, 90
Italia, Paolo Rossi, ATT, 93
Italia, Francesco Graziani, ATT, 86

Germania Ovest, Harald Schumacher, POR, 90
Germania Ovest, Manfred Kaltz, TD, 89
Germania Ovest, Uli Stielike, DC, 88
Germania Ovest, Karlheinz Förster, DC, 87
Germania Ovest, Hans-Peter Briegel, TS, 88
Germania Ovest, Wolfgang Dremmler, CC, 84
Germania Ovest, Paul Breitner, CC, 91
Germania Ovest, Felix Magath, TRQ, 87
Germania Ovest, Pierre Littbarski, ED, 89
Germania Ovest, Karl-Heinz Rummenigge, ATT, 94
Germania Ovest, Klaus Fischer, ATT, 86

Brasile, Waldir Peres, POR, 83
Brasile, Leandro, TD, 88
Brasile, Oscar, DC, 86
Brasile, Luizinho, DC, 85
Brasile, Júnior, TS, 90
Brasile, Toninho Cerezo, CC, 89
Brasile, Falcão, CC, 92
Brasile, Sócrates, TRQ, 93
Brasile, Zico, TRQ, 95
Brasile, Éder, ES, 88
Brasile, Serginho Chulapa, ATT, 84

Francia, Jean-Luc Ettori, POR, 84
Francia, Manuel Amoros, TD, 87
Francia, Marius Trésor, DC, 88
Francia, Gérard Janvion, DC, 85
Francia, Maxime Bossis, TS, 87
Francia, Jean Tigana, CC, 89
Francia, Alain Giresse, CC, 90
Francia, Bernard Genghini, TRQ, 85
Francia, Michel Platini, TRQ, 95
Francia, Dominique Rocheteau, ATT, 87
Francia, Didier Six, ATT, 85

Argentina, Ubaldo Fillol, POR, 88
 সুদর্শন, Jorge Olguín, TD, 84
Argentina, Luis Galván, DC, 85
Argentina, Daniel Passarella, DC, 91
Argentina, Alberto Tarantini, TS, 86
Argentina, Américo Gallego, CC, 85
Argentina, Osvaldo Ardiles, CC, 88
Argentina, Diego Maradona, TRQ, 93
Argentina, Daniel Bertoni, ED, 86
Argentina, Mario Kempes, ATT, 89
Argentina, Ramón Díaz, ATT, 87

Polonia, Józef Młynarczyk, POR, 87
Polonia, Marek Dziuba, TD, 83
Polonia, Władysław Żmuda, DC, 87
Polonia, Paweł Janas, DC, 84
Polonia, Stefan Majewski, TS, 84
Polonia, Waldemar Matysik, CC, 83
Polonia, Janusz Kupcewicz, CC, 84
Polonia, Andrzej Buncol, CC, 85
Polonia, Grzegorz Lato, ED, 88
Polonia, Zbigniew Boniek, TRQ, 91
Polonia, Włodzimierz Smolarek, ATT, 87

Inghilterra, Peter Shilton, POR, 90
Inghilterra, Mick Mills, TD, 84
Inghilterra, Phil Thompson, DC, 85
Inghilterra, Terry Butcher, DC, 86
Inghilterra, Kenny Sansom, TS, 86
Inghilterra, Steve Coppell, ED, 85
Inghilterra, Ray Wilkins, CC, 87
Inghilterra, Bryan Robson, CC, 89
Inghilterra, Graham Rix, ES, 84
Inghilterra, Paul Mariner, ATT, 85
Inghilterra, Trevor Francis, ATT, 87

URSS, Rinat Dasaev, POR, 91
URSS, Tengiz Sulakvelidze, TD, 84
URSS, Aleksandre Chivadze, DC, 86
URSS, Sergei Baltacha, DC, 85
URSS, Anatoliy Demyanenko, TS, 86
URSS, Volodymyr Bezsonov, CC, 85
URSS, Yuri Gavrilov, CC, 85
URSS, Andriy Bal, CC, 84
URSS, Ramaz Shengelia, ATT, 86
URSS, Oleh Blokhin, ATT, 89
URSS, Khoren Oganesian, TRQ, 84

Spagna, Luis Arconada, POR, 88
Spagna, Santiago Urquiaga, TD, 84
Spagna, Miguel Tendillo, DC, 85
Spagna, José Ramón Alexanco, DC, 84
Spagna, Rafael Gordillo, TS, 86
Spagna, José Antonio Camacho, CC, 87
Spagna, Periko Alonso, CC, 85
Spagna, Jesús María Zamora, CC, 85
Spagna, Juanito, ED, 87
Spagna, Quini, ATT, 88
Spagna, Roberto López Ufarte, ES, 86

Belgio, Jean-Marie Pfaff, POR, 89
Belgio, Eric Gerets, TD, 88
Belgio, Luc Millecamps, DC, 84
Belgio, Marc Baecke, DC, 83
