SQUADRA, GIOCATORE, RUOLO, RATING

Argentina, Nery Pumpido, POR, 86
Argentina, José Luis Brown, DC, 85
Argentina, Oscar Ruggeri, DC, 88
Argentina, José Cuciuffo, DC, 84
Argentina, Ricardo Giusti, TD, 85
Argentina, Julio Olarticoechea, TS, 84
Argentina, Sergio Batista, CC, 86
Argentina, Héctor Enrique, CC, 85
Argentina, Jorge Burruchaga, TRQ, 89
Argentina, Diego Maradona, TRQ, 98
Argentina, Jorge Valdano, ATT, 90

Germania Ovest, Harald Schumacher, POR, 91
Germania Ovest, Thomas Berthold, TD, 86
Germania Ovest, Karlheinz Förster, DC, 88
Germania Ovest, Ditmar Jakobs, DC, 85
Germania Ovest, Hans-Peter Briegel, TS, 89
Germania Ovest, Lothar Matthäus, CC, 92
Germania Ovest, Norbert Eder, CC, 84
Germania Ovest, Andreas Brehme, CC, 88
Germania Ovest, Felix Magath, TRQ, 88
Germania Ovest, Karl-Heinz Rummenigge, ATT, 92
Germania Ovest, Klaus Allofs, ATT, 88

Francia, Joël Bats, POR, 88
Francia, Manuel Amoros, TD, 89
Francia, Maxime Bossis, DC, 88
Francia, Patrick Battiston, DC, 87
Francia, Thierry Tusseau, TS, 85
Francia, Luis Fernández, CC, 88
Francia, Jean Tigana, CC, 91
Francia, Alain Giresse, CC, 90
Francia, Michel Platini, TRQ, 96
Francia, Dominique Rocheteau, ATT, 87
Francia, Jean-Pierre Papin, ATT, 86

Belgio, Jean-Marie Pfaff, POR, 90
Belgio, Eric Gerets, TD, 88
Belgio, Georges Grün, DC, 86
Belgio, Stéphane Demol, DC, 84
Belgio, Patrick Vervoort, TS, 83
Belgio, Franky Vercauteren, CC, 86
Belgio, René Vandereycken, CC, 85
Belgio, Enzo Scifo, TRQ, 90
Belgio, Jan Ceulemans, TRQ, 89
Belgio, Nico Claesen, ATT, 85
Belgio, Daniel Veyt, ATT, 83

Brasile, Carlos, POR, 86
Brasile, Josimar, TD, 86
Brasile, Júlio César, DC, 88
Brasile, Edinho, DC, 87
Brasile, Branco, TS, 86
Brasile, Alemão, CC, 87
Brasile, Júnior, CC, 89
